ID,Nº Factura,Fecha/Hora,Cliente,Método Pago,Total,Observaciones
1134,0445,2026-01-02 23:01:15,amigo,NEQUI,$3.500,-
1133,0444,2026-01-02 22:40:55,amigos,NEQUI,$12.000,-
1132,0443,2026-01-02 22:39:36,danna,EFECTIVO,$12.000,-
1131,0442,2026-01-02 22:37:04,motero,EFECTIVO,$28.500,-
1130,0441,2026-01-02 22:12:52,9259,DAVIPLATA,$16.000,-
1129,0440,2026-01-02 21:58:03,toca 1,EFECTIVO,$15.500,-
1128,0439,2026-01-02 21:53:22,BATARA 603,NEQUI,$23.000,-
1127,0438,2026-01-02 21:48:19,4412,EFECTIVO,$46.000,-
1126,0437,2026-01-02 21:47:07,8701,DAVIPLATA,$13.000,-
1125,0436,2026-01-02 21:45:57,0412,NEQUI,$116.000,-
1124,0435,2026-01-02 21:39:18,PASAN A RECIBIR,NEQUI,$28.000,-
1123,0434,2026-01-02 21:06:49,PETROBRAS,NEQUI,$26.000,-
1122,0433,2026-01-02 21:05:45,0515,NEQUI,$12.000,-
1121,0432,2026-01-02 21:03:51,1060,NEQUI,$49.000,-
1119,0430,2026-01-02 20:56:13,7723,EFECTIVO,$23.000,-
1118,0429,2026-01-02 20:54:05,PAREJA PERROS C,EFECTIVO,$13.000,-
1117,0428,2026-01-02 20:50:33,JHONATAN,EFECTIVO,$7.000,-
1116,0427,2026-01-02 20:49:15,JHONATAN,NEQUI,$32.000,-
1115,0426,2026-01-02 20:40:12,4803,EFECTIVO,$79.000,-
1114,0425,2026-01-02 20:36:13,CHICO BICI,NEQUI,$24.000,-
1113,0424,2026-01-02 20:29:16,FAMILIA  GRANDE,NEQUI,$102.000,-
1112,0423,2026-01-02 20:18:08,PAGO PUNTO,EFECTIVO,$33.500,-
1111,0422,2026-01-02 20:16:29,LOCAL MOTO,EFECTIVO,$22.000,-
1110,0421,2026-01-02 20:00:45,FAMILIA 3,NEQUI,$57.500,-
1109,0420,2026-01-02 19:50:30,AMIGOS 3,NEQUI,$43.000,-
1108,0419,2026-01-02 19:42:58,2770,NEQUI,$40.000,-
1107,0418,2026-01-02 19:41:34,LOCSL NIÑO,EFECTIVO,$19.500,-
1106,0417,2026-01-02 19:40:03,RECOGEN,EFECTIVO,$27.000,-
1105,0416,2026-01-02 19:29:58,3422,EFECTIVO,$19.500,-
1104,0415,2026-01-02 19:28:55,7209,NEQUI,$19.500,-
1103,0414,2026-01-02 19:25:47,LOCAL,NEQUI,$48.000,-
1102,0413,2026-01-02 19:04:45,PUNTO,NEQUI,$15.500,-
